NO,Customer_ID,Response,Sex,Age,Card_type,Shopping,Cashing,ETC,Card_contraction,Card_grade,Job,On_the_job,marriage,questionnaire1,questionnaire2,questionnaire3,questionnaire4,questionnaire5,expiration_date,onlineservice_avg_mon,cashing_avg_mon,food_avg_mon,speciality_avg_mon,general_avg_mon,network_avg_mon,onlineshopping_avg_mon,beauty_avg_mon,amusement_avg_mon,travel_avg_mon,onlineservice_avg_lmon,cashing_avg_lmon,food_avg_lmon,speciality_avg_lmon,general_avg_lmon,network_avg_lmon,onlineshopping_avg_lmon,beauty_avg_lmon,amusement_avg_lmon,travel_avg_lmon,shopping_avg,cashing_avg,ETC_avg,shopping_rec,cashing_rec,ETC_rec,No_records,max_used_date,min_used_date,No_function,No_member_store_use,No_category_use,max_charge,min_charge,avg_charge,charge_avg_per_mon,charge_lmon,charge_Monday,charge_Tuesday,charge_Wednesday,charge_Friday,charge_Thursday,charge_Saturday,charge_Sunday,generation,contraction_year,contraction_mon,contraction_day,contraction_day_JP
1,80000018,no reply,F,35,original,1,0,0,2003/03/22,silver card,,not working,married,0,0,0,0,0,2019/03/16,,23720,,72300,,16920,,,,6620,,8410,,72300,,16920,,,,6620,44610,23720,6620,16920,8410,6620,5,2012/08/01,2010/04/01,3,4,4,72300,6620,28656,28656,8410,,39030,8410,,72300,6620,16920,30s,2003,3,7,Saturday
2,80000042,reply,M,39,affiliated card A,1,1,0,2003/01/21,gold card(superior),general payer1,working,unmarried,0,0,0,0,0,2019/01/16,,23174,33590,12210,29360,19630,,,,22185,,13810,33590,19220,34840,19630,,,,15050,27272,23174,22185,54060,13810,15050,13,2012/09/01,2010/03/01,3,7,6,48770,2430,22815,29660,13810,29320,52260,90880,36020,,19010,69110,30s,2003,1,3,Tuesday
3,80000234,no reply,F,43,affiliated card A,1,1,1,2003/02/16,silver card,,not working,married,0,0,0,0,0,2019/02/16,,11015,,,,,9470,6380,21680,,,8110,,,,,9470,6380,21680,,12510,11015,,6380,8110,,5,2012/05/01,2010/03/01,2,4,4,21680,6380,11912,11912,6380,13920,6380,8110,,9470,,21680,40s,2003,2,1,Sunday
4,80000273,no reply,F,45,original,1,1,1,2003/02/19,silver card,,not working,married,0,0,0,0,0,2019/02/16,,,3860,,,,,,,,,,3860,,,,,,,,3860,,,3860,,,1,2011/06/01,2011/06/01,1,1,1,3860,3860,3860,3860,3860,,,3860,,,,,40s,2003,2,4,Wednesday
5,80000529,no reply,M,33,affiliated card A,1,0,0,2003/01/12,gold card(superior),general payer1,working,married,0,0,0,0,0,2019/01/16,,11590,,5270,,,,,,,,13200,,5270,,,,,,,5270,11590,,5270,13200,,3,2012/11/01,2010/09/01,2,2,2,13200,5270,9483,9483,5270,,,9980,,5270,13200,,30s,2003,1,1,Sunday
6,80000627,no reply,M,38,original,1,0,0,2003/01/14,gold card(superior),general payer1,working,unmarried,0,0,0,0,0,2019/01/16,,4070,,114410,,,,,,10500,,4070,,114410,,,,,,15130,60140,4070,15130,5870,4070,15130,5,2012/08/01,2010/12/01,3,5,3,103150,4070,27896,34870,15130,,,135410,,4070,,,30s,2003,1,3,Tuesday
7,80000646,reply,M,38,affiliated card C,1,1,1,2003/03/31,gold card,general payer1,working,unmarried,0,0,0,0,0,2019/03/16,13180,44127,48890,6216,,,,,,,13180,11510,48890,8070,,,,,,,16144,44127.5,,8070,11510,,9,2012/11/01,2010/08/01,2,6,4,94730,4000,28581,28581,8070,,101310,25650,,19580,48890,61800,30s,2003,3,2,Monday
8,80000806,no reply,F,33,original,0,0,0,2003/02/23,silver card,,not working,unmarried,0,0,0,0,0,2019/02/16,22490,,,,,11910,,,,,22490,,,,,11910,,,,,17200,,,11910,,,2,2011/06/01,2010/11/01,1,2,2,22490,11910,17200,17200,11910,22490,,11910,,,,,30s,2003,2,1,Sunday
9,80000966,no reply,F,26,original,1,0,0,2003/03/27,silver card,general payer1,working,unmarried,0,0,0,0,0,2019/03/16,,37230,28075,25445,,,,,,,,37230,51500,7540,,,,,,,26760,37230,,7540,37230,,5,2012/04/01,2010/12/01,2,4,3,51500,4650,28854,28854,37230,,,56150,,7540,43350,37230,20s,2003,3,5,Thursday
10,80000985,no reply,M,50,original,1,0,0,2003/03/24,platinum loyal card,doctor,working,unmarried,0,0,0,0,0,2019/03/16,,,,,,,,,,63710,,,,,,,,,,63710,,,63710,,,63710,1,2011/02/01,2011/02/01,1,1,1,63710,63710,63710,63710,63710,,63710,,,,,,50s,2003,3,2,Monday
